caldt,vwretd,vwretx,totval
19990226,-0.024150,-0.025592,10519905300.00
19990331,0.028509,0.027002,10880844200.00
19990430,0.053286,0.052285,11485858100.00
19990528,-0.018600,-0.020639,11288805700.00
19990630,0.041926,0.040629,11724598600.00
19990730,-0.034619,-0.035696,11330546300.00
19990831,-0.022215,-0.023632,11063933400.00
19990930,-0.030239,-0.031726,10723500200.00
19991029,0.057149,0.056168,11333062700.00
19991130,0.009586,0.008062,11442348900.00
19991231,0.033574,0.032145,11809519300.00
